INSTRUMENT1,01-Jan-1996,2.4655
INSTRUMENT1,02-Jan-1996,2.4685
INSTRUMENT1,03-Jan-1996,2.473
INSTRUMENT1,04-Jan-1996,2.4845
INSTRUMENT1,05-Jan-1996,2.4868
INSTRUMENT1,08-Jan-1996,2.4825
INSTRUMENT1,09-Jan-1996,2.487
INSTRUMENT1,10-Jan-1996,2.4865
INSTRUMENT1,11-Jan-1996,2.4845
INSTRUMENT1,21-Feb-1996,2.537
INSTRUMENT1,22-Feb-1996,2.54
INSTRUMENT1,23-Feb-1996,2.549
INSTRUMENT1,26-Feb-1996,2.538
INSTRUMENT1,27-Feb-1996,2.543
INSTRUMENT1,28-Feb-1996,2.547
INSTRUMENT1,29-Feb-1996,2.5565
INSTRUMENT1,01-Mar-1996,2.5685
INSTRUMENT1,04-Mar-1996,2.5667
INSTRUMENT1,05-Mar-1996,2.5695
INSTRUMENT1,06-Mar-1996,2.569
INSTRUMENT1,07-Mar-1996,2.577
INSTRUMENT1,08-Mar-1996,2.5725
INSTRUMENT1,11-Mar-1996,2.5765
INSTRUMENT1,12-Mar-1996,2.5795
INSTRUMENT1,13-Mar-1996,2.569
INSTRUMENT1,14-Mar-1996,2.57
INSTRUMENT1,15-Mar-1996,2.572
INSTRUMENT1,18-Mar-1996,2.572
INSTRUMENT1,19-Mar-1996,2.5705
INSTRUMENT1,20-Mar-1996,2.5725
INSTRUMENT1,21-Mar-1996,2.578
INSTRUMENT1,22-Mar-1996,2.5815
INSTRUMENT1,25-Mar-1996,2.5795
INSTRUMENT1,26-Mar-1996,2.5802
INSTRUMENT1,27-Mar-1996,2.58
INSTRUMENT1,28-Mar-1996,2.592
INSTRUMENT1,29-Mar-1996,2.5865
INSTRUMENT1,01-Apr-1996,2.5875
INSTRUMENT1,12-Jan-1996,2.4965
INSTRUMENT1,15-Jan-1996,2.4965
INSTRUMENT1,16-Jan-1996,2.506
INSTRUMENT1,17-Jan-1996,2.512
INSTRUMENT1,18-Jan-1996,2.5204
INSTRUMENT1,19-Jan-1996,2.5297
INSTRUMENT1,22-Jan-1996,2.5365
INSTRUMENT1,23-Jan-1996,2.5288
INSTRUMENT1,24-Jan-1996,2.538
INSTRUMENT1,25-Jan-1996,2.535
INSTRUMENT1,26-Jan-1996,2.547
INSTRUMENT1,29-Jan-1996,2.5505
INSTRUMENT1,30-Jan-1996,2.546
INSTRUMENT1,31-Jan-1996,2.547
INSTRUMENT1,01-Feb-1996,2.551
INSTRUMENT1,02-Feb-1996,2.5509
INSTRUMENT1,05-Feb-1996,2.5403
INSTRUMENT1,06-Feb-1996,2.5325
INSTRUMENT1,07-Feb-1996,2.5402
INSTRUMENT1,08-Feb-1996,2.5465
INSTRUMENT1,09-Feb-1996,2.5405
INSTRUMENT1,12-Feb-1996,2.5438
INSTRUMENT1,13-Feb-1996,2.5461
INSTRUMENT1,14-Feb-1996,2.5425
INSTRUMENT1,15-Feb-1996,2.5404
INSTRUMENT1,16-Feb-1996,2.542
INSTRUMENT1,19-Feb-1996,2.542
INSTRUMENT1,20-Feb-1996,2.531
INSTRUMENT1,02-Apr-1996,2.581
INSTRUMENT1,03-Apr-1996,2.586
INSTRUMENT1,04-Apr-1996,2.593
INSTRUMENT1,05-Apr-1996,2.593
INSTRUMENT1,08-Apr-1996,2.5927
INSTRUMENT1,09-Apr-1996,2.597
INSTRUMENT1,10-Apr-1996,2.612
INSTRUMENT1,11-Apr-1996,2.6158
INSTRUMENT1,12-Apr-1996,2.62
INSTRUMENT1,15-Apr-1996,2.6263
INSTRUMENT1,16-Apr-1996,2.6236
INSTRUMENT1,17-Apr-1996,2.627
INSTRUMENT1,18-Apr-1996,2.629
INSTRUMENT1,19-Apr-1996,2.6243
INSTRUMENT1,22-Apr-1996,2.635
INSTRUMENT1,23-Apr-1996,2.638
INSTRUMENT1,24-Apr-1996,2.6405
INSTRUMENT1,25-Apr-1996,2.649
